"","Name","SMILES","NG_hit"
"21","ALLOPURINOL","O=c1[nH]cnc2[nH]ncc12",0
"22","ALVERINE CITRATE","CCN(CCCc1ccccc1)CCCc1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O",0
"23","AMANTADINE HYDROCHLORIDE","Cl.NC12CC3CC(CC(C3)C1)C2",0
"24","LEVOMILNACIPRAN HYDROCHLORIDE","CCN(CC)C(=O)C1(c2ccccc2)CC1CN.Cl",0
"25","AMILORIDE HYDROCHLORIDE","Cl.N=C(N)NC(=O)c1nc(Cl)c(N)nc1N",0
"26","POTASSIUM p-AMINOBENZOATE","Nc1ccc(C(=O)[O-])cc1.[K+]",0
"27","AMINOCAPROIC ACID HYDROCHLORIDE","Cl.NCCCCCC(=O)O",0
"28","AMINOGLUTETHIMIDE","CCC1(c2ccc(N)cc2)CCC(=O)NC1=O",0
"29","AMINOSALICYLATE SODIUM","Nc1ccc(C(=O)[O-])c(O)c1.[Na+]",0
"30","AMITRIPTYLINE HYDROCHLORIDE","CN(C)CCC=C1c2ccccc2CCc2ccccc21.Cl",0
"31","AMODIAQUINE DIHYDROCHLORIDE","CCN(CC)Cc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1O.Cl.Cl",0
"32","AMOXICILLIN","CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O",1
"33","AMPHOTERICIN B","CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O",0
"34","AMPICILLIN SODIUM","CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)[O-].[Na+]",0
"35","ANTHRALIN","O=C1c2c(O)cccc2Cc2cccc(O)c21",0
"36","ANTIPYRINE","Cc1cc(=O)n(-c2ccccc2)n1C",0
"37","APOMORPHINE HYDROCHLORIDE","CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3.Cl",0
"38","ASPIRIN","CC(=O)Oc1ccccc1C(=O)O",0
"39","ATROPINE SULFATE","CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2.O=S(=O)(O)O",0
"40","AZATHIOPRINE","Cn1cnc([N+](=O)[O-])c1Sc1[nH]cnc2ncnc1-2",0
"41","BACITRACIN","CCC(C)C(N)C1=NC(C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NCCCCC2NC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(Cc3c[nH]cn3)NC(=O)C(Cc3ccccc3)NC(=O)C(C(C)CC)NC(=O)C(CCCN)NC2=O)C(C)CC)CS1",0
"42","BECLOMETHASONE DIPROPIONATE","CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC21C",0
"43","BENSERAZIDE HYDROCHLORIDE","Cl.NC(CO)C(=O)NNCc1ccc(O)c(O)c1O",0
"44","BENZETHONIUM CHLORIDE","CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-]",1
"45","BENZOCAINE","CCOC(=O)c1ccc(N)cc1",0
"46","BENZTHIAZIDE","NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O",0
"47","CARBOPLATIN","N.N.O=C1O[Pt]OC(=O)C12CCC2",0
"48","DIFLUBENZURON","O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1",0
"49","BETHANECHOL CHLORIDE","CC(C[N+](C)(C)C)OC(N)=O.[Cl-]",0
"50","BISACODYL","CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1",0
"51","BITHIONOL","Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O",1
"52","BROMOCRIPTINE MESYLATE","CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12.CS(=O)(=O)O",0
"53","BUSULFAN","CS(=O)(=O)OCCCCOS(C)(=O)=O",0
"54","CAFFEINE","Cn1c(=O)c2c(ncn2C)n(C)c1=O",0
"55","CAMPHOR","CC12CCC(CC1=O)C2(C)C",0
"56","CARBACHOL","C[N+](C)(C)CCOC(N)=O.[Cl-]",0
"57","CARBAMAZEPINE","NC(=O)N1c2ccccc2C=Cc2ccccc21",0
"58","CARBENICILLIN DISODIUM","CC1(C)SC2C(NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)N2C1C(=O)[O-].[Na+].[Na+]",0
"59","CARBINOXAMINE MALEATE","CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1.O=C(O)C=CC(=O)O",0
"60","CARISOPRODOL","CCCC(C)(COC(N)=O)COC(=O)NC(C)C",0
"61","CEFADROXIL","CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1",0
"62","CEFAZOLIN SODIUM","Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1.[Na+]",0
"63","CEFOTAXIME SODIUM","CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CSC12)c1csc(N)n1.[Na+]",1
"64","FIROCOXIB","CC1(C)OC(=O)C(OCC2CC2)=C1c1ccc(S(C)(=O)=O)cc1",0
"65","CEPHAPIRIN SODIUM","CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1.[Na+]",0
"66","ACETAZOLAMIDE","CC(=O)Nc1nnc(S(N)(=O)=O)s1",0
"67","CEPHRADINE","CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1",0
"68","CETYLPYRIDINIUM CHLORIDE","CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-]",1
"69","CHLORAMBUCIL","O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1",0
"70","CHLORAMPHENICOL PALMITATE","CCCCCCCCCCCCCCCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1",0
"71","CHLORAMPHENICOL SODIUM SUCCINATE","O=C([O-])CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1.[Na+]",1
"72","CHLORAMPHENICOL","O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl",1
"73","NORGESTIMATE","C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC",0
"74","CHLORHEXIDINE DIHYDROCHLORIDE","Cl.Cl.N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1",1
"75","CHLOROCRESOL","Cc1cc(O)ccc1Cl",0
"76","CHLOROTHIAZIDE","NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O",0
"77","CHLOROXYLENOL","Cc1cc(O)cc(C)c1Cl",1
"78","DEXCHLORPHENIRAMINE MALEATE",NA,0
"79","CHLORPROMAZINE HYDROCHLORIDE","CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl",1
"80","CHLORPROPAMIDE","CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1",0
"81","CHLORTETRACYCLINE HYDROCHLORIDE","CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12.Cl",1
"82","CHLORTHALIDONE","NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl",0
"83","CHLORZOXAZONE","O=c1[nH]c2cc(Cl)ccc2o1",1
"84","CICLOPIROX OLAMINE","Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO",1
"85","CINOXACIN","CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3",1
"86","CLEMASTINE FUMARATE","CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1.O=C(O)C=CC(=O)O",0
"87","CLIDINIUM BROMIDE","C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2.[Br-]",0
"88","CLINDAMYCIN HYDROCHLORIDE","CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1.Cl",1
"89","CLOMIPHENE CITRATE","CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O",1
"90","CLONIDINE HYDROCHLORIDE","Cl.Clc1cccc(Cl)c1N=C1NCCN1",0
"91","CLOTRIMAZOLE","Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1",0
"92","CLOXACILLIN SODIUM","Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-].[Na+]",1
"93","CLOXYQUIN","Oc1ccc(Cl)c2cccnc12",1
"94","COLCHICINE","COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2",1
"95","COLISTIMETHATE SODIUM","CCC(C)C1NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)CCCCC(C)C)C(C)O)CCNC(=O)C(C(C)O)NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(CCNCS(=O)(=O)[O-])NC(=O)C(C(C)CC)NC1=O.[Na+].[Na+].[Na+].[Na+].[Na+]",0
"96","CORTISONE ACETATE","CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C",0
"97","COTININE","CN1C(=O)CCC1c1cccnc1",0
"98","CRESOL","Cc1ccc(O)cc1",0
"99","CROMOLYN SODIUM","O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+]",0
"100","CYCLIZINE","CN1CCN(C(c2ccccc2)c2ccccc2)CC1",0
"101","CYCLOPENTOLATE HYDROCHLORIDE","CN(C)CCOC(=O)C(c1ccccc1)C1(O)CCCC1.Cl",0
"102","CYCLOPHOSPHAMIDE","O.O=P1(N(CCCl)CCCl)NCCCO1",0
"103","CYCLOSERINE (D)","NC1CONC1=O",0
"104","CYPROTERONE ACETATE","CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C",0
"105","CYTARABINE","Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1",0
"106","DACARBAZINE","CN(C)N=Nc1[nH]cnc1C(N)=O",1
"107","DANAZOL","C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C",0
"108","DAPSONE","Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1",0
"109","DAUNORUBICIN HYDROCHLORIDE","COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1.Cl",1
"110","DEFEROXAMINE MESYLATE","CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.CS(=O)(=O)O",1
"111","DEHYDROCHOLATE SODIUM","CC(CCC(=O)[O-])C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CC(=O)C12C.[Na+]",0
"112","DEMECLOCYCLINE HYDROCHLORIDE","CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(O)C3CC12.Cl",1
"113","DESIPRAMINE HYDROCHLORIDE","CNCCCN1c2ccccc2CCc2ccccc21.Cl",0
"114","DEXAMETHASONE",NA,0
"115","DEXAMETHASONE ACETATE",NA,0
"116","DEXAMETHASONE SODIUM PHOSPHATE",NA,0
"117","DEXTROMETHORPHAN HYDROBROMIDE","Br.COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3",0
"118","DIBENZOTHIOPHENE","c1ccc2c(c1)sc1ccccc12",0
"119","DIBUCAINE HYDROCHLORIDE","CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1.Cl",0
"120","DICLOFENAC SODIUM","O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+]",0
"121","DICLOXACILLIN SODIUM","Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-].[Na+]",1
"122","DICYCLOMINE HYDROCHLORIDE","CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1.Cl",0
"123","DIENESTROL","CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1",0
"124","DIETHYLCARBAMAZINE CITRATE","CCN(CC)C(=O)N1CCN(C)CC1.O=C(O)CC(O)(CC(=O)O)C(=O)O",0
"125","DIETHYLSTILBESTROL","CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1",0
"126","DIFLUNISAL","O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O",1
"127","DIGITOXIN","CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O",0
"128","DIGOXIN","CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O",0
"129","ROPINIROLE HYDROCHLORIDE","CCCN(CCC)CCc1cccc2c1CC(=O)N2.Cl",0
"130","DIMENHYDRINATE","CN(C)CCOC(c1ccccc1)c1ccccc1.Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O",0
"131","DIMERCAPROL","OCC(S)CS",0
"132","DIMETHADIONE","CC1(C)OC(=O)NC1=O",0
"133","DIOXYBENZONE","COc1ccc(C(=O)c2ccccc2O)c(O)c1",1
"134","DIPHENHYDRAMINE HYDROCHLORIDE","CN(C)CCOC(c1ccccc1)c1ccccc1.Cl",0
"135","DIPHENYLPYRALINE HYDROCHLORIDE","CN1CCC(OC(c2ccccc2)c2ccccc2)CC1.Cl",0
"136","DIPYRIDAMOLE","OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1",0
"137","PYRITHIONE ZINC","[O-][n+]1ccccc1S[Zn]Sc1cccc[n+]1[O-]",1
"138","DISULFIRAM","CCN(CC)C(=S)SSC(=S)N(CC)CC",1
"139","DOPAMINE HYDROCHLORIDE","Cl.NCCc1ccc(O)c(O)c1",0
"140","DOXEPIN HYDROCHLORIDE","CN(C)CCC=C1c2ccccc2COc2ccccc21.Cl",0
"141","DOXYCYCLINE HYDROCHLORIDE","CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C21.Cl",1
"142","DOXYLAMINE SUCCINATE","CN(C)CCOC(C)(c1ccccc1)c1ccccn1.O=C(O)CCC(=O)O",0
"143","DYCLONINE HYDROCHLORIDE","CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1.Cl",1
"144","DYPHYLLINE","Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O",0
"145","ETHYLENEDIAMINE TETRACETIC ACID","O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O",0
"146","EMETINE DIHYDROCHLORIDE","CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21.Cl.Cl",1
"147","EPHEDRINE (1R,2S) HYDROCHLORIDE","CNC(C)C(O)c1ccccc1.Cl",0
"148","EPINEPHRINE BITARTRATE","CNCC(O)c1ccc(O)c(O)c1.O=C(O)C(O)C(O)C(=O)O",0
"149","DOMPERIDONE","O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1",0
"150","ERGOCALCIFEROL","C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C",0
"151","PSEUDOEPHEDRINE HYDROCHLORIDE",NA,0
"152","ERYTHROMYCIN ETHYLSUCCINATE","CCOC(=O)CCC(=O)OC1C(OC2C(C)C(OC3CC(C)(OC)C(O)C(C)O3)C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)C(=O)C(C)CC2(C)O)OC(C)CC1N(C)C",1
"153","ERYTHROMYCIN","CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O",1
"154","ESTRADIOL","CC12CCC3c4ccc(O)cc4CCC3C1CCC2O",0
"155","ESTRADIOL CYPIONATE","CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)CCC1CCCC1",0
"156","ESTRADIOL VALERATE","CCCCC(=O)OC1CCC2C3CCc4cc(O)ccc4C3CCC12C",0
"157","ESTRIOL",NA,0
"158","ESTRONE","CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O",0
"159","ETHACRYNIC ACID","C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl",0
"160","ETHAMBUTOL HYDROCHLORIDE","CCC(CO)NCCNC(CC)CO.Cl.Cl",0
"161","ETHINYL ESTRADIOL","C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C",0
"162","ETHIONAMIDE","CCc1cc(C(N)=S)ccn1",0
"163","ETHOPROPAZINE HYDROCHLORIDE","CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21.Cl",0
"164","EUCALYPTOL","CC12CCC(CC1)C(C)(C)O2",0
"165","SEMUSTINE","CC1CCC(NC(=O)N(CCCl)N=O)CC1",0
"166","EUGENOL","C=CCc1ccc(O)c(OC)c1",0
"167","FLUDROCORTISONE ACETATE","CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC21C",0
"168","FLUMETHAZONE PIVALATE","CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(=O)C(C)(C)C",0
"169","FLUOCINOLONE ACETONIDE","CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1",0
"170","FLUOCINONIDE","CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C",0
"171","DORAMECTIN","COC1CC(OC2C(C)OC(OC3C(C)=CCC4CC(CC5(C=CC(C)C(C6CCCCC6)O5)O4)OC(=O)C4C=C(C)C(O)C5OCC(=CC=CC3C)C45O)CC2OC)OC(C)C1O",0
"172","GLUTATHIONE","NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O",0
"173","FLURBIPROFEN","CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1",0
"174","FURAZOLIDONE","O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1",1
"175","FUROSEMIDE","NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl",0
"176","FUSIDIC ACID","CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(CCC=C(C)C)C(=O)O",1
"177","GALLAMINE TRIETHIODIDE","CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC.[I-].[I-].[I-]",0
"178","GEMFIBROZIL","Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1",0
"179","GENTIAN VIOLET","CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-]",1
"180","GLUCOSAMINE HYDROCHLORIDE","Cl.NC1C(O)OC(CO)C(O)C1O",0
"181","GRAMICIDIN (gramicidin A shown)","CC(C)CC(NC(=O)C(C)NC(=O)CNC(=O)C(NC=O)C(C)C)C(=O)NC(C)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCCO)C(C)C)C(C)C)C(C)C",0
"182","GUAIFENESIN","COc1ccccc1OCC(O)CO",0
"183","GUANABENZ ACETATE","CC(=O)O.N=C(N)NN=Cc1c(Cl)cccc1Cl",0
"184","HALAZONE","O=C(O)c1ccc(S(=O)(=O)N(Cl)Cl)cc1",0
"185","HALOPERIDOL","O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1",0
"186","HETACILLIN POTASSIUM","CC1(C)SC2C(N3C(=O)C(c4ccccc4)NC3(C)C)C(=O)N2C1C(=O)[O-].[K+]",1
"187","HEXACHLOROPHENE","Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl",0
"188","HEXYLRESORCINOL","CCCCCCc1ccc(O)cc1O",0
"189","HISTAMINE DIHYDROCHLORIDE","Cl.Cl.NCCc1c[nH]cn1",0
"190","HOMATROPINE HYDROBROMIDE","Br.CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2",0
"191","HOMATROPINE METHYLBROMIDE","C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2.[Br-]",0
"192","HYDROCHLOROTHIAZIDE","NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O",1
"193","HYDROCORTISONE ACETATE","CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C",0
"194","HYDROCORTISONE HEMISUCCINATE","CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(=O)O",0
"195","HYDROCORTISONE PHOSPHATE TRIETHYLAMINE","CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COP(=O)([O-])[O-].CC[NH+](CC)CC.CC[NH+](CC)CC",0
"196","HYDROFLUMETHIAZIDE","NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O",0
"197","HYDROXYPROGESTERONE CAPROATE","CCCCCC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C",0
"198","HYDROXYUREA","NC(=O)NO",0
"199","HYDROXYZINE PAMOATE","O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1",0
"200","HYOSCYAMINE",NA,0
"201","IBUPROFEN",NA,0
"202","IMIPRAMINE HYDROCHLORIDE","CN(C)CCCN1c2ccccc2CCc2ccccc21.Cl",0
"203","INDAPAMIDE","CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1",0
"204","INDOMETHACIN","COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1",0
"205","CANAGLIFLOZIN","Cc1ccc(C2OC(CO)C(O)C(O)C2O)cc1Cc1ccc(-c2ccc(F)cc2)s1",1
"206","INOSITOL","OC1C(O)C(O)C(O)C(O)C1O",0
"207","ROBENIDINE HYDROCHLORIDE","Cl.N=C(NN=Cc1ccc(Cl)cc1)NN=Cc1ccc(Cl)cc1",0
"208","IPRATROPIUM BROMIDE","CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2.[Br-]",0
"209","ISONIAZID","NNC(=O)c1ccncc1",0
"210","ISOPROPAMIDE IODIDE","CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C.[I-]",0
"211","ISOPROTERENOL HYDROCHLORIDE","CC(C)NCC(O)c1ccc(O)c(O)c1.Cl",0
"212","ISOSORBIDE DINITRATE","O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12",0
"213","ISOXSUPRINE HYDROCHLORIDE","CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1.Cl",0
"214","KANAMYCIN A SULFATE","NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O.O=S(=O)(O)O",0
"215","KETOCONAZOLE","CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1",1
"216","LACTULOSE","OCC1OC(OC2C(CO)OC(O)(CO)C2O)C(O)C(O)C1O",0
"217","LEUCOVORIN CALCIUM","Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)[O-])C(=O)[O-])cc1)N2C=O.[Ca+2]",0
"218","LEVONORDEFRIN","CC(N)C(O)c1ccc(O)c(O)c1",0
"219","LINCOMYCIN HYDROCHLORIDE","CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1.Cl",1
"220","MAFENIDE HYDROCHLORIDE","Cl.NCc1ccc(S(N)(=O)=O)cc1",0
"221","MAPROTILINE HYDROCHLORIDE","CNCCCC12CCC(c3ccccc31)c1ccccc12.Cl",1
"222","MECAMYLAMINE HYDROCHLORIDE","CNC1(C)C2CCC(C2)C1(C)C.Cl",0
